timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1586047611792,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
1586047611791,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,2,ISO-8859-1,1,0,Admin,2,0
1586047611795,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047611795,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047611798,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,525,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047611802,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,322,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047611798,7,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,596,837,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047611805,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047611808,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,322,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047611805,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4434,768,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047612319,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,2,utf-8,1,0,Admin,0,0
1586047611812,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,2,ISO-8859-1,1,0,Admin,507,0
1586047612322,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,3,utf-8,1,0,Admin,0,0
1586047612322,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047612326,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047612325,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047612329,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,474,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612333,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,352,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612328,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,626,786,1,2,null,,6,ISO-8859-1,1,0,Admin,2,0
1586047612336,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047612339,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,352,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612336,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4464,768,1,2,null,,6,ISO-8859-1,1,0,Admin,1,0
1586047612850,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,3,utf-8,1,0,Admin,0,0
1586047612343,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,3,ISO-8859-1,1,0,Admin,507,0
1586047612854,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
1586047612853,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047612857,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047612856,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047612860,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,494,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612864,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,391,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612859,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,665,806,1,2,null,,6,ISO-8859-1,1,0,Admin,2,0
1586047612867,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047612870,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,391,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047612867,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4503,768,1,2,null,,6,ISO-8859-1,1,0,Admin,1,0
1586047613381,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,4,utf-8,1,0,Admin,0,1
1586047612874,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,4,ISO-8859-1,1,0,Admin,508,1
1586047613386,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,3,utf-8,1,0,Admin,0,0
1586047613386,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047613389,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047613389,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047613392,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,574,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047613396,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,456,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047613392,7,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,730,886,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047613399,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047613402,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,456,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047613399,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4568,768,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047613912,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,4,utf-8,1,0,Admin,0,0
1586047613405,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,4,ISO-8859-1,1,0,Admin,507,0
1586047613916,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,3,utf-8,1,0,Admin,0,0
1586047613916,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047613920,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047613919,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047613923,14,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,519,1,2,http://localhost:8090/service/guestbook,,14,UTF-8,1,0,Admin,0,0
1586047613938,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,503,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047613922,17,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,777,831,1,2,null,,17,ISO-8859-1,1,0,Admin,2,0
1586047613941,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047613944,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,503,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047613941,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4615,768,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047614459,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,3,utf-8,1,0,Admin,0,0
1586047613947,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,3,ISO-8859-1,1,0,Admin,513,0
1586047614463,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
1586047614463,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047614466,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047614466,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047614469,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,480,1,2,http://localhost:8090/service/guestbook,,4,UTF-8,1,0,Admin,0,0
1586047614473,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,535,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047614469,7,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,809,792,1,2,null,,7,ISO-8859-1,1,0,Admin,0,0
1586047614476,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047614479,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,535,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047614476,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4647,768,1,2,null,,6,ISO-8859-1,1,0,Admin,1,0
1586047614991,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,2,utf-8,1,0,Admin,0,0
1586047614483,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,2,ISO-8859-1,1,0,Admin,508,0
1586047614994,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,3,utf-8,1,0,Admin,0,0
1586047614994,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047614997,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047614997,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047615000,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,492,1,2,http://localhost:8090/service/guestbook,,4,UTF-8,1,0,Admin,0,0
1586047615004,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,571,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615000,7,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,845,804,1,2,null,,7,ISO-8859-1,1,0,Admin,0,0
1586047615008,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047615010,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,571,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615007,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4683,768,1,2,null,,5,ISO-8859-1,1,0,Admin,2,0
1586047615014,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,2,utf-8,1,0,Admin,0,0
1586047615014,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,2,ISO-8859-1,1,0,Admin,0,0
1586047615017,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,3,utf-8,1,0,Admin,0,0
1586047615017,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,3,ISO-8859-1,1,0,Admin,0,0
1586047615020,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047615020,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047615023,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,468,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615026,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,599,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615023,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,873,780,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047615029,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,3,utf-8,1,0,Admin,0,0
1586047615032,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,599,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615029,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4711,768,1,2,null,,6,ISO-8859-1,1,0,Admin,0,0
1586047615538,5,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,5,utf-8,1,0,Admin,0,0
1586047615035,5,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,5,ISO-8859-1,1,0,Admin,504,0
1586047615544,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
1586047615544,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047615547,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047615547,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,0,0
1586047615550,11,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,475,1,2,http://localhost:8090/service/guestbook,,11,UTF-8,1,0,Admin,0,0
1586047615562,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,634,312,1,2,http://localhost:8090/service/guestbook,,2,UTF-8,1,0,Admin,0,0
1586047615550,13,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,908,787,1,2,null,,13,ISO-8859-1,1,0,Admin,1,0
1586047615565,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047615567,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,634,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047615565,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4746,768,1,2,null,,5,ISO-8859-1,1,0,Admin,0,0
1586047616085,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,2,utf-8,1,0,Admin,0,0
1586047615570,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,2,ISO-8859-1,1,0,Admin,515,0
1586047616088,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
1586047616088,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,,2,ISO-8859-1,1,0,Admin,1,0
1586047616091,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047616091,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,,2,ISO-8859-1,1,0,Admin,0,0
1586047616093,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,525,1,2,http://localhost:8090/service/guestbook,,4,UTF-8,1,0,Admin,0,0
1586047616097,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,683,312,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047616093,7,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,957,837,1,2,null,,7,ISO-8859-1,1,0,Admin,0,0
1586047616100,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,,2,utf-8,1,0,Admin,0,0
1586047616103,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,683,337,1,2,http://localhost:8090/service/guestbook,,3,UTF-8,1,0,Admin,0,0
1586047616100,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4795,768,1,2,null,,5,ISO-8859-1,1,0,Admin,0,0
1586047616616,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,,2,utf-8,1,0,Admin,0,0
1586047616106,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,,2,ISO-8859-1,1,0,Admin,510,0
1586047616619,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,,2,utf-8,1,0,Admin,0,0
