timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851327792,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851328792,61694,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851328792,14033,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851328792,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851329793,61692,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851329793,12808,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851329793,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851330793,61696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851330793,13037,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851330793,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851331794,61702,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851331794,11637,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851331794,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851332794,61699,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851332794,11341,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851332794,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851333795,61698,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851333795,11677,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851333795,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851334796,61699,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851334796,16070,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851334796,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851335796,61700,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851335796,15111,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851335796,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
